Protein.ID	Control-Symbiosome_PValue	Control-Symbiosome_AdjPVal	Control-Symbiosome_log2FoldChange	featureAvg	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10764	0.00186258649012879	0.00427802550736295	1.94971562839834	25.684204298659	25.6336891424718	25.8402456520108	25.828783477877	26.2242712643675	27.4249332379454	26.077876459879	23.8399397182849	NA	24.6038954364356	NA	NA	NA
AIPGENE10773	NA	NA	NA	NA	24.4210590557441	24.564058308711	24.1486955136596	22.7261660901157	24.0260721610835	23.1811590476381	NA	NA	NA	NA	NA	NA
AIPGENE1080	1.2005494454197e-05	5.41914680224169e-05	1.63448134230728	25.0653555824329	25.4344257584988	25.4326152510946	25.9007807770488	25.6947410103543	25.8884587863939	25.9638671327447	23.8905387637643	NA	24.0150016852311	NA	24.466496243306	23.9666304158929
AIPGENE10885	0.876009344968964	0.892486009764619	-0.0564170685043202	24.3120146048326	24.4689997030651	24.51708273061	NA	23.9971493895545	NA	24.1896038380951	24.4970917393051	24.2021602283659	NA	NA	NA	NA
AIPGENE10893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.8456911148883	27.7362262659919	28.1595634915501	27.8666434239466	28.051670585309	28.4281328586094
AIPGENE10895	NA	NA	NA	NA	NA	NA	NA	NA	22.7121848779746	NA	NA	NA	NA	NA	NA	NA
AIPGENE10899	NA	NA	NA	NA	25.0607046205763	24.1099250116635	23.7298367106003	23.7595555726464	22.7078957379899	22.5644146416151	NA	NA	NA	NA	NA	NA
AIPGENE10905	1.50540660582679e-08	1.6870936099783e-07	-3.32393416507361	27.0020932590912	24.1798794064703	25.115193312929	25.1942750974598	25.7927944023212	25.6900413140397	26.0685735261062	28.906305766253	28.5209722642905	28.5386690622572	29.1039349237855	28.3114103291306	28.603069704051
AIPGENE10921	NA	NA	NA	NA	NA	22.5555856516371	22.752330337864	22.7878476012992	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1093	NA	NA	NA	NA	23.9706829727118	24.1859491166836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10935	NA	NA	NA	NA	22.9131903770178	NA	23.9296824059142	21.5264868627914	22.5563424826411	NA	NA	NA	NA	NA	NA	NA
AIPGENE10940	NA	NA	NA	NA	21.3473982590808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10966	NA	NA	NA	NA	24.7320687555911	25.2095296203939	25.1536881812059	25.1570883250882	25.1667446601611	25.1039346324512	NA	NA	NA	NA	NA	NA
AIPGENE10967	NA	NA	NA	NA	22.0598683928475	NA	22.4681119410518	22.6656786988049	22.8695642377584	NA	NA	NA	NA	NA	NA	NA
AIPGENE10977	NA	NA	NA	NA	NA	NA	NA	22.5892515959285	22.5932132609622	NA	NA	NA	NA	NA	NA	NA
AIPGENE10991	NA	NA	NA	NA	24.4293841189934	24.5290449065426	24.2985660762088	24.1873491085995	24.0286502217869	23.6279516076989	NA	NA	NA	NA	NA	NA
AIPGENE11011	NA	NA	NA	NA	22.6298065837401	NA	23.0034134043871	NA	22.0973048632557	NA	NA	NA	NA	NA	NA	NA
AIPGENE11057	0.989710034295709	0.992764694895387	0.00397396289433871	24.7704076402355	24.8213453148969	24.4414211251315	25.1079927061277	24.2152387441088	24.7639746960619	25.2833113357069	24.2884601853294	24.2128395385872	25.5370582878792	25.2513621960069	24.5514799127537	NA
AIPGENE11091	NA	NA	NA	NA	24.3720700862082	23.2524105196594	24.9729484808177	24.5808070165235	25.4597785563499	23.7457087438368	NA	NA	NA	NA	NA	NA
AIPGENE11099	0.934675227237425	0.944850540753229	0.0569540416010454	22.1611018423563	NA	NA	NA	22.3021456975501	22.0770120287636	NA	NA	NA	23.066195707161	NA	21.1990539359506	NA
AIPGENE11123	9.26901046509531e-11	3.76553550144497e-09	-3.78227936025904	28.0567052530412	26.1727681466551	26.0633517585387	26.3803892577091	25.7521821403038	26.321394572683	26.3033075615801	30.1181926031574	29.4834945888686	29.3255612738291	30.2777224533921	30.2449009122582	30.2371977675187
AIPGENE11167	0.000267114836747471	0.000834733864835848	2.91132506832179	25.8680379122312	26.6367294888331	26.787212222939	26.5254469162114	26.8923383639871	26.6137426513177	26.1197454325815	22.4239242515035	NA	24.9451639704762	NA	NA	NA
AIPGENE11186	NA	NA	NA	NA	24.1824511409931	24.2001236363052	24.2259239202781	24.2314775603912	24.1725728183151	24.1049118120023	NA	NA	NA	NA	NA	NA
AIPGENE11193	NA	NA	NA	NA	23.4911271719608	23.8603896840044	24.4030374115518	23.2003948407646	24.0215628372028	NA	NA	NA	NA	NA	NA	NA
AIPGENE11223	NA	NA	NA	NA	21.3462273990817	NA	NA	NA	20.8512342693848	NA	NA	NA	NA	NA	NA	NA
AIPGENE11225	0.188578791638451	0.239406669072252	1.24609054076458	24.0042186383014	24.7703049223546	24.273470799574	21.405745135299	25.2905416655162	25.5988591308166	24.5555259873947	NA	NA	23.0624256299778	NA	NA	23.0768758354781
AIPGENE11237	0.00355132736577348	0.00761835903548767	3.3705600422487	22.7309452962737	24.7567550675425	21.9516289118176	24.5533687739258	24.1561084881407	NA	NA	21.5021422250157	NA	19.4656683112002	NA	NA	NA
AIPGENE11239	NA	NA	NA	NA	20.9622543972659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE1127	NA	NA	NA	NA	NA	NA	NA	22.5784752480457	24.9330375867143	NA	NA	NA	NA	NA	NA	NA
AIPGENE11276	NA	NA	NA	NA	26.1679750833779	26.670022785059	25.2709526420212	23.8720421804396	25.5280660647097	26.1274586834619	NA	NA	NA	NA	NA	NA
AIPGENE11286	0.262275140244679	0.318057539475824	1.03172907244957	26.2042529935905	27.1275128815371	27.3628615952599	26.2525350221922	24.8823520602686	25.4752631277966	27.0093324794452	NA	25.3199137886337	NA	NA	NA	NA
AIPGENE11306	NA	NA	NA	NA	23.7794549211465	24.3455478140686	23.8812674156812	23.4052782506039	24.0200197156575	22.6065242926224	NA	NA	NA	NA	NA	NA
AIPGENE11311	NA	NA	NA	NA	24.2738695228197	24.2966427602259	24.3996820942948	24.2999757278421	24.4178409205495	NA	NA	NA	NA	NA	NA	NA
AIPGENE11320	NA	NA	NA	NA	22.6899777482021	21.6486841776432	22.445700573853	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11341	NA	NA	NA	NA	23.7221893277255	23.9257252116648	23.1506893278871	24.5944507594251	23.7707072714043	24.3084044928448	NA	NA	NA	NA	NA	NA
AIPGENE11352	NA	NA	NA	NA	22.0518735443961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11356	0.000279049861309405	0.000863725761195778	-1.12302178882318	23.2914021717053	23.020858057004	22.5340288564653	22.4117445355884	22.74032732912	22.9424976082906	NA	24.0242686587258	23.6233797228985	23.6661609105743	23.9755328337001	NA	23.9752232046855
AIPGENE11368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5138417745854	22.7343469998737	22.6937423927764	21.7957750741227	22.6679676964102
AIPGENE11410	0.00525582899444415	0.0108799007846774	2.49346379465475	21.6949372288157	NA	NA	NA	23.3572464252522	NA	NA	20.8830425844425	20.8445226767524	NA	NA	NA	NA
AIPGENE11420	0.083317056769278	0.117987117429261	0.634526617046895	26.4503231498589	26.2684428242067	26.7366989351762	26.8046204199276	27.0167976791333	26.2644564548435	26.8799758199597	25.535314040189	25.7544997118535	26.7921024634403	NA	NA	NA
AIPGENE11421	6.98539583803149e-07	4.72969509866715e-06	2.81394866042136	26.7103171644101	28.2503745478182	28.2735655487414	28.1886070797834	28.0935336737504	28.0331707360768	27.8644973815546	24.1765331856674	26.3114590200734	26.3707013676634	24.8201986252851	25.1509653107269	24.9901994957804
AIPGENE1143	NA	NA	NA	NA	22.379474156072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11436	0.0444202814412432	0.0700805411087575	-0.846706653667923	23.2849344595494	22.3617148666798	NA	22.9469497173508	23.4311601162024	22.7064998306289	NA	23.4664833742926	NA	NA	24.5156292397387	23.7875531108982	23.0634854206041
AIPGENE11440	NA	NA	NA	NA	24.7127768093157	24.3634907959823	23.7615482006886	24.6774971970099	23.491058426398	23.9790918037564	NA	NA	NA	NA	NA	NA
AIPGENE11487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.9746777318668	NA
