"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6"
"AIPGENE24298",NA,NA,NA,NA,23.3924062250858,22.6652860903057,22.5948605629357,22.4864660079299,22.7706306085601,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24299",0.00108405050108154,0.0027184014473686,2.05858553964773,26.5321184905479,26.4320996478468,26.9683906856897,27.3272760068912,26.6333700307302,26.8216422517222,26.774434211534,NA,NA,24.7676165994213,NA,NA,NA
"AIPGENE243",NA,NA,NA,NA,NA,23.4148641426163,23.1139357875355,23.0277468568018,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24319",NA,NA,NA,NA,23.350537953793,22.7031991035209,23.1379213039403,22.5785991073494,23.8538445849765,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24363",0.0492667932611204,0.0754505435257717,1.32644478885912,25.6245893160047,26.2124357703037,25.9354368656425,26.0632677526595,26.0216052080779,26.004194449696,24.6475485258133,NA,NA,24.4876366398397,NA,NA,NA
"AIPGENE24366",NA,NA,NA,NA,22.9905444943576,23.0486658374925,22.0169737337657,23.2497686938805,22.6519849227635,23.0824986507859,NA,NA,NA,NA,NA,NA
"AIPGENE24367",NA,NA,NA,NA,21.2433896254766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24372",NA,NA,NA,NA,24.7432550895126,25.2321572506706,25.3820484265346,25.2800564941078,25.0374739165127,24.1235981088423,NA,NA,NA,NA,NA,NA
"AIPGENE24398",8.38325041697532e-05,0.000307698073963843,2.41690847859771,27.5042109251986,28.1945024723816,28.4268726876101,28.7436399348118,28.6329074771691,28.664649645946,28.1632736819076,NA,25.277420251796,27.5931505468681,26.2506628619419,NA,25.095029691554
"AIPGENE24427",NA,NA,NA,NA,21.6610816830276,NA,NA,22.3640215163105,21.3560591574066,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24429",0.00167991746082585,0.00385911109007897,-2.08124907824174,24.1440842838553,21.3359984148527,22.3182507392685,NA,22.5379878998649,24.0478087410631,24.804241774477,25.4031258656558,25.6906896833972,25.1972464014154,24.2065639495289,24.6699610430415,25.3730526098431
"AIPGENE24434",NA,NA,NA,NA,25.058434028918,24.7249597681115,25.2310829848629,25.7323915061903,25.6950329688761,26.2279532523288,NA,NA,NA,NA,NA,NA
"AIPGENE2444",NA,NA,NA,NA,23.1522847695116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24452",NA,NA,NA,NA,23.9272865990718,24.1456769295096,23.8398026294542,24.2946690551819,24.9170640311176,24.4083537828912,NA,NA,NA,NA,NA,NA
"AIPGENE24453",NA,NA,NA,NA,23.9767234336256,NA,23.7900073266593,24.2686957918016,24.4866232257718,24.4942935619923,NA,NA,NA,NA,NA,NA
"AIPGENE24467",NA,NA,NA,NA,25.438356070237,25.6939982957823,25.548091313183,24.9626098378037,25.1073338920368,25.3009593003477,NA,NA,NA,NA,NA,NA
"AIPGENE2448",5.09602127367261e-09,6.97517911833938e-08,-3.03456814697822,28.3744983505327,27.3435066183974,26.1935287323874,26.3207200779277,27.0467458468663,27.1298905646758,27.1088938220071,30.0634480619234,29.8335917780494,29.5475776022838,29.7309496312567,30.3660796046943,29.8090478659234
"AIPGENE24486",NA,NA,NA,NA,23.8730227553273,24.8131635133745,24.8999473608826,25.2140129335726,24.6775771366682,24.196518944013,NA,NA,NA,NA,NA,NA
"AIPGENE24521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7651850344573,23.7571864662561,23.2035206472121,24.8497480433251,23.4424582556642,23.8600953487678
"AIPGENE2454",0.000420928348546765,0.00123459787944297,-2.05990895675042,23.1496511995475,21.5304915459265,NA,NA,21.9241445428328,21.8744995963824,NA,22.9815531706948,24.4463288019912,24.4100769290725,22.778287998117,24.0793341349207,24.3221440759897
"AIPGENE24553",NA,NA,NA,NA,23.5297123857936,23.1576155831775,23.8177396046941,24.1689432883806,21.9986280744589,22.8407772269171,NA,NA,NA,NA,NA,NA
"AIPGENE24571",NA,NA,NA,NA,23.0386615013044,NA,21.436357553364,24.6499938900663,23.0728869195515,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24599",5.45181859157633e-06,2.84273397989337e-05,1.65706440069556,26.9137750232201,27.133738427394,27.5277050975502,27.7047981882625,27.9797691720873,27.7920957081748,28.3157367479384,26.2062696285812,26.3973344374052,26.4116723359575,26.0068423689607,25.9050717505804,25.5842664157489
"AIPGENE246",NA,NA,NA,NA,NA,21.3127672805371,22.2402471542608,22.9736829194313,23.3977674334387,NA,NA,NA,NA,NA,NA,NA
"AIPGENE2460",NA,NA,NA,NA,NA,NA,NA,21.1172660441537,22.7855106096405,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24634",NA,NA,NA,NA,24.2859786960747,23.6434392110693,23.0138417242641,22.7194122606136,23.0688147541385,23.5873104025047,NA,NA,NA,NA,NA,NA
"AIPGENE24635",NA,NA,NA,NA,24.3489113304364,22.9980054456835,23.5088770703719,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24638",NA,NA,NA,NA,22.993559526672,22.5486424566625,NA,NA,22.3328852000999,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24681",NA,NA,NA,NA,23.9592614133411,23.0442423441886,22.3594963457466,21.2958648788545,NA,22.8833526109958,NA,NA,NA,NA,NA,NA
"AIPGENE24701",5.97226839446352e-06,3.06545338684573e-05,3.01802796095166,27.6514763316231,28.4196576258186,28.6411991100214,28.9703509905198,28.9874772581491,28.6477768581054,28.2784520690279,25.5661577452546,NA,26.6367897997037,NA,24.7154255280078,NA
"AIPGENE24715",NA,NA,NA,NA,21.2694927695528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE2472",0.0547207636705762,0.0820811455058643,0.810512044239623,24.8392483944521,24.8003946653943,24.5312390485689,24.9142653866064,25.4244724538754,24.9672186015112,25.6136682771156,24.585879927819,NA,23.8768487947257,NA,NA,NA
"AIPGENE24735",NA,NA,NA,NA,NA,23.0534260457872,23.4770991761442,23.4618035113729,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24742",NA,NA,NA,NA,25.606501140019,24.6761046793389,24.9171526393017,23.1176595853575,24.3530831188287,25.7443475742077,NA,NA,NA,NA,NA,NA
"AIPGENE24747",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1122518207061,NA,NA,NA,NA,NA,NA
"AIPGENE24752",NA,NA,NA,NA,22.5840601146519,22.210742007672,22.7315406839796,22.3304805619984,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24762",3.16291139605648e-08,3.10154147344642e-07,-8.03104973625006,27.4890392636306,NA,NA,NA,NA,20.6052823468448,NA,29.0075425616924,28.6742545665894,28.9835582171256,28.119983361775,28.1176936543136,28.9149601370731
"AIPGENE24766",1.32135383479045e-05,6.02867687123141e-05,2.20839861065141,26.6589687393907,28.0082876779774,27.2301994550034,27.2637484253945,26.8876066633616,27.7176988994174,28.1464279807531,25.8804136979914,24.9805327683305,24.8740945055059,NA,NA,25.6006773201715
"AIPGENE24769",NA,NA,NA,NA,21.7531125544162,NA,22.1046168022331,22.495869220352,22.1888130515783,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24770",NA,NA,NA,NA,NA,23.6453961882592,NA,NA,23.2935524717209,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5989348117512,22.0490278861401,23.0685320058154,24.1530711811903,NA,23.1123702929013
"AIPGENE24807",NA,NA,NA,NA,NA,NA,NA,NA,23.3577643711208,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24832",0.00894825024691201,0.0173419288920475,1.52985068018473,25.681749889829,26.6845276918537,26.0460386055275,26.1144334251669,25.2132980093354,25.8535414905102,27.2383614769495,24.7506213826426,NA,25.5842706012842,NA,NA,23.6506563251906
"AIPGENE24846",NA,NA,NA,NA,21.4207829426249,NA,NA,22.1462111004063,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24853",NA,NA,NA,NA,23.2781684650489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE24907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7172559186847,23.849976344602,NA,23.7343453037348
"AIPGENE24929",NA,NA,NA,NA,NA,NA,22.5529732287186,23.0008658298534,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE2497",NA,NA,NA,NA,23.5276810647676,24.6261752556476,24.3567722583199,23.6669062435197,23.6210147383465,25.055914678495,NA,NA,NA,NA,NA,NA
"AIPGENE24977",NA,NA,NA,NA,25.6845837267498,25.6661950925066,25.9817766563039,25.7260576202648,25.1585741094108,25.3071533130262,NA,NA,NA,NA,NA,NA
"AIPGENE24983",NA,NA,NA,NA,23.75062325341,21.7496904878572,24.7723415490887,23.9026748205828,25.7621049244177,23.7339299468809,NA,NA,NA,NA,NA,NA
"AIPGENE24985",0.000619560102672614,0.00170314220692848,-1.44408599700933,29.8848245911709,29.3778750127201,28.7254990059659,29.0649617873246,28.5964625818987,29.7319949052523,29.4798962628357,30.3612713893632,31.0638713652817,31.2323590010018,29.4402460620752,30.2295884014101,31.3138693189213
"AIPGENE25004",NA,NA,NA,NA,21.5870340930076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25065",NA,NA,NA,NA,23.5282762095222,24.069196359417,24.3126788152049,23.601819647345,24.7820399218435,23.5099071931308,NA,NA,NA,NA,NA,NA
"AIPGENE25069",0.284792934339574,0.343319188735963,1.00566366632052,23.8102299450074,22.0235474527881,23.1986499506413,25.8807694782623,24.1761935174412,25.2086517063619,NA,NA,NA,23.1974029739917,NA,NA,22.9863945355652
"AIPGENE25075",NA,NA,NA,NA,24.3157222628251,24.9395518859154,25.2317416315308,25.0322485547681,22.4710626952718,23.4916651523806,NA,NA,NA,NA,NA,NA
"AIPGENE2509",0.000615362972519722,0.00170314220692848,1.86733285125595,23.2062474410872,23.6038863261209,24.0464037371521,24.1227653656071,NA,23.5417114704767,NA,22.0117672315207,NA,21.9109505156458,NA,NA,NA
"AIPGENE25102",0.327272885552896,0.385337429763893,0.279008722910891,28.3978665955423,28.6446235415481,28.3952539148956,28.4429285252136,28.4606712747479,28.5985644949525,28.6821839906286,28.3822843031901,28.8271232717576,29.183045279119,27.6585008384223,27.7824001594765,27.7168195525555
"AIPGENE25107",NA,NA,NA,NA,20.7845602576919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25111",NA,NA,NA,NA,23.7482115259477,24.2874866768623,22.7060524263497,23.4056486931422,21.3441240626128,NA,NA,NA,NA,NA,NA,NA
"AIPGENE2512",NA,NA,NA,NA,25.1540205416381,24.1589208756914,24.4228525177361,22.8995992716003,22.9290696282532,25.6614568025891,NA,NA,NA,NA,NA,NA
"AIPGENE25129",0.0268676357869053,0.0457306650569865,-1.62891702501771,25.5376338608226,26.157995843239,24.3392757277228,25.3535705485922,24.5042646397911,25.6042763554058,22.8239190728639,27.7896451669512,26.2684004768959,27.5437042973365,NA,24.2932914777995,26.2356288624512
"AIPGENE25133",NA,NA,NA,NA,22.6819536454087,25.0501796466198,24.2836756651268,25.6145146065436,25.3745370253728,25.3399394434459,NA,NA,NA,NA,NA,NA
"AIPGENE25142",NA,NA,NA,NA,NA,22.1286934774691,NA,22.0943952283331,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25152",0.100553284407684,0.137065258319112,1.34836153256751,22.4570119704122,22.643817632126,21.5436676126658,23.6233268656874,23.2687200696673,22.3291622823875,NA,NA,21.3333773599393,NA,NA,NA,NA
"AIPGENE25159",NA,NA,NA,NA,NA,23.3677931140819,24.2744434687411,23.0462598319358,23.4869745885934,23.7665807873879,NA,NA,NA,NA,NA,NA
"AIPGENE25169",NA,NA,NA,NA,24.0491659745374,24.3429329968553,24.5191151834145,24.069221920164,23.4185864675541,24.3428476507853,NA,NA,NA,NA,NA,NA
"AIPGENE25174",0.83191572841917,0.858035531509253,0.0988008773410414,25.5979303922973,25.6001722385525,25.291512814494,25.6604681353526,25.9901336163195,25.1998184813886,25.930163533969,NA,NA,25.513243926005,NA,NA,NA
"AIPGENE25198",NA,NA,NA,NA,22.0339971658524,20.9390967901266,NA,23.6454525353635,21.5860835519023,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25202",NA,NA,NA,NA,26.3421660739286,26.5930039264249,26.2739855794831,27.0844946971803,26.955530004126,26.2674984746479,NA,NA,NA,NA,NA,NA
"AIPGENE25204",NA,NA,NA,NA,24.7157083108056,24.6920738063529,25.3491976426745,26.0779858384641,25.6429967405777,25.4610043926091,NA,NA,NA,NA,NA,NA
"AIPGENE2525",NA,NA,NA,NA,21.8196502159602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25294",NA,NA,NA,NA,NA,NA,NA,NA,21.6314101673482,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25304",NA,NA,NA,NA,21.8040748249502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25327",NA,NA,NA,NA,22.0849101696192,NA,22.5610906184672,22.6140406667241,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25339",NA,NA,NA,NA,23.892880734424,23.0275720220876,NA,22.3291444487936,22.9507077532742,23.2641694217647,NA,NA,NA,NA,NA,NA
