Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE3166	0	0	0	0	0	0	22610348	0	0	12967584	8517162	25679794
AIPGENE3170	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3178	0	0	0	0	0	0	99221930	53345090	36002388	14057996	19952902	71653336
AIPGENE3180	2193475.8	13318982	26428604	0	0	15639910	118655720	53063800	73164260	38210636	67019972	90871640
AIPGENE3181	0	0	0	0	0	0	3328980.2	0	0	0	0	0
AIPGENE3182	0	0	0	0	0	0	8955794	4508770.5	0	4525384	0	0
AIPGENE3186	0	0	0	0	0	0	18223870	63620664	44627376	46140772	54085148	15607272
AIPGENE3189	0	0	0	0	0	0	0	4174896.8	0	5248845.5	10734845	0
AIPGENE3197	0	0	0	0	0	0	5674481.5	2000888.6	2329524.8	0	0	0
AIPGENE3199	36604190	41684410	124935620	17098286	18734998	26259560	1740772600	1652491100	1763263700	1893834600	1661528000	1516994700
AIPGENE3218	0	0	0	0	0	0	81176850	132027736	139600200	154259300	119429730	69518790
AIPGENE3224	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3227	67540130	44986240	142935780	95059690	50910544	74398744	519919230	450154700	641129150	507291170	452168220	547679500
AIPGENE3230	0	0	0	0	0	0	176376380	185579150	196264750	172166000	206211410	126892460
AIPGENE3262	0	0	0	0	0	0	1782057.5	0	0	0	0	0
AIPGENE3266	101451360	174464480	435787100	158992910	166143470	94321816	43745664	48127664	125225096	71084330	87912590	56562730
AIPGENE3280	0	0	0	0	0	0	0	0	0	2581634.5	0	0
AIPGENE3323	0	0	0	0	0	0	6040056.5	2335946.2	6029086	3719240	3179351.5	0
AIPGENE3324	0	0	0	0	0	0	0	0	6379714.5	7629357.5	6621250	6318298.5
AIPGENE334	0	0	0	0	0	0	7581926	0	0	7791725	4650231	0
AIPGENE3350	0	0	0	0	0	0	57928956	25710072	49471972	48135052	37639990	12742856
AIPGENE3352	0	0	0	0	0	0	7376333.5	0	0	4873928	5259639	0
AIPGENE3354	0	0	0	0	0	0	10051660	0	5255148.5	0	0	0
AIPGENE3356	0	0	0	0	0	0	7503389.5	1450253.4	0	0	8140093.5	0
AIPGENE3360	0	0	0	0	0	0	98241940	113753010	166336660	136472400	140537730	124858296
AIPGENE338	0	0	0	0	0	0	36756564	26589944	49583028	39979560	51234816	16564181
AIPGENE3382	0	0	0	0	0	0	135921800	105987330	37777364	107694560	109591220	66346090
AIPGENE3388	29972044	21056832	81070010	10411909	9584623	10053426	366263040	339176580	401383000	414083740	474756380	106155380
AIPGENE3389	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE339	0	0	0	0	0	0	3833175.8	0	2246007.8	2078241.2	2750229.8	0
AIPGENE3403	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3415	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3444	149448510	98103580	205098780	105041320	144030940	119781230	40792964	22287348	35907330	17831008	42846536	40788670
AIPGENE3445	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE345	8008996	14849272	27543908	0	3394895.8	4187053.5	862673800	606059000	692567900	802092740	661199940	595096200
AIPGENE3450	0	0	0	0	0	0	83189150	33075556	33194638	76214450	52478684	19142716
AIPGENE3458	0	0	0	0	0	0	212371470	249633980	153848380	156017980	167646380	100103320
AIPGENE3465	0	0	0	0	0	0	19026520	20876126	17618468	10325269	22595588	19534484
AIPGENE3466	0	0	0	0	0	0	0	0	0	7490609.5	0	0
AIPGENE3478	0	0	0	0	0	0	10253836	0	0	3824058.2	3631490.5	3422270
AIPGENE3479	0	0	0	0	0	0	15215908	27489578	19208934	17937066	20785422	4490434.5
AIPGENE349	0	0	0	0	5830589.5	0	4350829	0	0	0	0	0
AIPGENE3495	0	0	0	0	0	0	38150228	90669320	34640490	50670444	66115830	64827370
AIPGENE3496	0	0	0	0	0	0	2888333.5	0	0	0	0	0
AIPGENE350	0	0	0	0	0	0	3855695.5	0	7362376	4666625.5	0	0
AIPGENE3501	0	0	0	0	0	0	7868771.5	0	16184985	0	36730452	42157080
AIPGENE3507	0	0	0	0	0	0	9865836	9326353	0	9997274	6920281	0
AIPGENE3516	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3518	0	0	0	0	0	0	9552910	0	0	0	0	0
AIPGENE3524	0	0	0	0	0	0	278799780	295339780	194219970	172910320	204527710	134565520
AIPGENE3536	0	0	0	0	0	0	5011094	0	7914061	0	7097696	0
AIPGENE3537	115548130	83984600	121998140	120382590	74595816	93091500	305220060	162374160	211802500	322916740	196966530	208099230
AIPGENE354	0	0	12685046	0	0	0	632512960	758316000	520825730	699473400	599987140	630347600
AIPGENE3544	0	0	0	0	0	0	22743284	37324640	60494910	78955020	75323900	44646772
AIPGENE3553	7683288.5	0	24062788	3873030.2	0	0	0	0	0	0	4004273	0
AIPGENE3555	0	0	0	0	0	0	0	0	0	0	0	0
