GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0070527	platelet aggregation	21	5	1.17	0.01519
GO:0071398	cellular response to fatty acid	11	4	0.61	0.01521
GO:0007026	negative regulation of microtubule depolymerization	10	3	0.55	0.01525
GO:0016188	synaptic vesicle maturation	10	3	0.55	0.01525
GO:0006921	cellular component disassembly involved in execution phase of apoptosis	29	4	1.61	0.01525
GO:0022904	respiratory electron transport chain	28	7	1.55	0.01534
GO:0009615	response to virus	215	16	11.93	0.01601
GO:0030239	myofibril assembly	37	9	2.05	0.01697
GO:0006760	folic acid-containing compound metabolic process	30	7	1.66	0.01702
GO:0019673	GDP-mannose metabolic process	10	5	0.55	0.01705
GO:0008210	estrogen metabolic process	13	3	0.72	0.01711
GO:0009436	glyoxylate catabolic process	4	2	0.22	0.01713
GO:0060391	positive regulation of SMAD protein signal transduction	4	2	0.22	0.01713
GO:0070409	carbamoyl phosphate biosynthetic process	4	2	0.22	0.01713
GO:0031155	regulation of reproductive fruiting body development	4	2	0.22	0.01713
GO:0031156	regulation of sorocarp development	4	2	0.22	0.01713
GO:2000254	regulation of male germ cell proliferation	4	2	0.22	0.01713
GO:0046498	S-adenosylhomocysteine metabolic process	4	2	0.22	0.01713
GO:0006101	citrate metabolic process	4	2	0.22	0.01713
GO:0006734	NADH metabolic process	4	2	0.22	0.01713
GO:0046827	positive regulation of protein export from nucleus	4	2	0.22	0.01713
GO:0060050	positive regulation of protein glycosylation	4	2	0.22	0.01713
GO:0006543	glutamine catabolic process	4	2	0.22	0.01713
GO:0006805	xenobiotic metabolic process	46	9	2.55	0.01716
GO:0043687	post-translational protein modification	90	11	4.99	0.01763
GO:0009207	purine ribonucleoside triphosphate catabolic process	650	49	36.07	0.01837
GO:0007274	neuromuscular synaptic transmission	19	4	1.05	0.01873
GO:0006750	glutathione biosynthetic process	19	4	1.05	0.01873
GO:0006334	nucleosome assembly	73	9	4.05	0.01931
GO:0016071	mRNA metabolic process	515	38	28.58	0.01993
GO:0032886	regulation of microtubule-based process	102	11	5.66	0.01996
GO:0006103	2-oxoglutarate metabolic process	13	4	0.72	0.02007
GO:0051919	positive regulation of fibrinolysis	11	3	0.61	0.02011
GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	11	3	0.61	0.02011
GO:0071205	protein localization to juxtaparanode region of axon	11	3	0.61	0.02011
GO:0006541	glutamine metabolic process	34	8	1.89	0.02018
GO:0008360	regulation of cell shape	82	10	4.55	0.02088
GO:0010770	positive regulation of cell morphogenesis involved in differentiation	62	8	3.44	0.02189
GO:0006749	glutathione metabolic process	41	10	2.28	0.02209
GO:0006631	fatty acid metabolic process	268	33	14.87	0.02255
GO:0006575	cellular modified amino acid metabolic process	205	35	11.38	0.02442
GO:0038095	Fc-epsilon receptor signaling pathway	41	6	2.28	0.02456
GO:0030241	skeletal muscle myosin thick filament assembly	12	3	0.67	0.02573
GO:0030048	actin filament-based movement	56	7	3.11	0.02642
GO:0009395	phospholipid catabolic process	21	4	1.17	0.02650
GO:0051443	positive regulation of ubiquitin-protein transferase activity	31	5	1.72	0.02663
GO:0009083	branched-chain amino acid catabolic process	17	7	0.94	0.02730
GO:0010498	proteasomal protein catabolic process	198	17	10.99	0.02730
GO:0060397	growth hormone receptor signaling pathway via JAK-STAT	5	2	0.28	0.02750
GO:0034314	Arp2/3 complex-mediated actin nucleation	5	2	0.28	0.02750
GO:0010807	regulation of synaptic vesicle priming	5	2	0.28	0.02750
GO:0050765	negative regulation of phagocytosis	5	2	0.28	0.02750
GO:0010501	RNA secondary structure unwinding	5	2	0.28	0.02750
GO:0034214	protein hexamerization	5	2	0.28	0.02750
GO:0042256	cytosolic ribosome assembly	5	2	0.28	0.02750
GO:0071492	cellular response to UV-A	5	2	0.28	0.02750
GO:0018106	peptidyl-histidine phosphorylation	5	2	0.28	0.02750
GO:0055015	ventricular cardiac muscle cell development	5	2	0.28	0.02750
GO:0048790	maintenance of presynaptic active zone structure	5	2	0.28	0.02750
GO:0006432	phenylalanyl-tRNA aminoacylation	5	2	0.28	0.02750
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	5	2	0.28	0.02750
GO:2000679	positive regulation of transcription regulatory region DNA binding	5	2	0.28	0.02750
GO:0006768	biotin metabolic process	5	2	0.28	0.02750
GO:0006527	arginine catabolic process	5	2	0.28	0.02750
GO:0046655	folic acid metabolic process	5	2	0.28	0.02750
GO:0046128	purine ribonucleoside metabolic process	781	75	43.34	0.02834
GO:0000398	mRNA splicing, via spliceosome	138	16	7.66	0.02839
GO:0031324	negative regulation of cellular metabolic process	1064	60	59.05	0.03067
GO:0009154	purine ribonucleotide catabolic process	673	49	37.35	0.03174
GO:0006693	prostaglandin metabolic process	21	4	1.17	0.03205
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	25	4	1.39	0.03207
GO:0018107	peptidyl-threonine phosphorylation	58	7	3.22	0.03352
GO:0042307	positive regulation of protein import into nucleus	33	5	1.83	0.03399
GO:0051351	positive regulation of ligase activity	33	5	1.83	0.03399
GO:0042219	cellular modified amino acid catabolic process	25	6	1.39	0.03574
GO:0046132	pyrimidine ribonucleoside biosynthetic process	23	4	1.28	0.03593
GO:0032774	RNA biosynthetic process	2358	87	130.87	0.03605
