Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE8856	0	0	0	0	0	0	0	0	4322215	5825216	0	0
AIPGENE8868	0	0	22016146	0	0	0	99835816	72347784	116000880	156833088	134546080	95646576
AIPGENE8869	0	0	0	0	0	0	0	0	1677104.4	3364789.5	0	0
AIPGENE8870	0	0	0	0	0	0	8249280.5	14348097	10867128	10837101	10301474	5974570.5
AIPGENE8886	0	0	0	0	0	0	0	0	0	0	6258386.5	0
AIPGENE8890	0	0	0	0	0	0	8036008	0	12360058	14630465	9500497	0
AIPGENE8900	0	0	0	0	0	0	8940077	0	10054078	5207235	7494501	0
AIPGENE8921	0	0	0	0	0	0	0	20580956	9125511	34444288	12352292	0
AIPGENE8932	0	0	0	0	0	0	4747781.5	17225924	8203958.5	33246550	17948822	11012120
AIPGENE8933	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE8937	0	0	0	0	0	0	2094593.9	16835460	21222654	50433832	55030236	14227379
AIPGENE8939	0	0	0	0	0	0	26045008	24057298	24209900	25254730	34641856	11107370
AIPGENE8948	0	0	0	0	0	0	6219550	2171989.8	0	0	0	0
AIPGENE8951	0	0	0	0	0	0	14012908	13289158	13412328	0	0	8903948
AIPGENE8961	0	0	0	0	0	0	1755399.1	0	0	0	0	0
AIPGENE8962	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE8973	17989522	0	0	8776887	0	18323314	0	0	0	5930724.5	0	0
AIPGENE8982	0	0	0	0	0	0	0	0	0	0	9941976	0
AIPGENE8995	0	0	0	0	0	0	2649077.8	9870232	3644629.2	0	9530599	0
AIPGENE8998	27300436	37787556	57575136	16783864	22651724	24392602	23306718	22599894	29076652	24656824	27020786	20234874
AIPGENE9005	0	0	0	0	0	0	0	0	0	6276778.5	0	0
AIPGENE9014	0	0	0	0	0	0	8076448	11379424	0	11390488	0	0
AIPGENE9017	12623883	0	17848448	0	0	0	38121780	23099266	24747226	20185250	21089884	15033274
AIPGENE9023	0	0	0	0	0	0	11728724	4734816	0	6598847	11109683	0
AIPGENE9031	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE9036	0	0	0	0	0	0	0	0	0	0	7655800	0
AIPGENE9038	0	0	0	0	0	0	31542866	19982004	28007596	25582196	19183020	14821760
AIPGENE9045	0	0	0	0	0	0	28895638	2659055.8	3037209	17323024	18529912	0
AIPGENE9048	0	0	0	0	0	0	276848576	165780176	347792032	304011936	498442752	134957312
AIPGENE905	36261528	0	49547900	26433644	21443792	24078406	0	0	0	0	0	0
AIPGENE9091	0	0	0	0	0	0	110723304	123961168	124894680	127753024	114722320	60936548
AIPGENE9109	0	0	0	0	0	0	0	0	1885485.4	0	1897977.6	0
AIPGENE9112	0	0	0	0	0	0	2359340.2	0	0	0	0	0
AIPGENE9123	0	0	0	0	0	0	14763650	7119881.5	12238384	14263048	6527713.5	8887617
AIPGENE9142	150503056	130656224	382973184	114294872	60588504	44426680	11568320500	8617387000	9080512500	9272811500	10344158200	6827847700
AIPGENE9143	0	0	0	0	0	0	0	3943708.5	0	18962672	5987838	0
AIPGENE9190	0	12868310	10292906	31444710	0	0	176602976	158645552	172373984	173603824	134530784	97172432
AIPGENE9198	0	0	0	0	0	0	55619024	45248288	70270280	84325864	29323576	32953580
AIPGENE9203	78031592	26762406	175714784	0	8901696	13172136	240207456	74212784	209208080	226344528	252552272	280649184
