Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE17139	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17142	0	0	0	0	0	0	4565238	9612336.5	5992867.5	4624242	9792102.5	0
AIPGENE17152	0	0	0	0	0	0	8800848	0	7075504	0	0	8868499
AIPGENE17156	10358317	40183418	20198102	0	9173441	25962643	0	0	0	0	0	0
AIPGENE1716	0	0	0	0	0	0	18451464	10156679	16201178	2780785	8920872.8	0
AIPGENE17161	0	0	0	0	0	0	27582442	23362881	27908921.5	18502166	11962512.8	13848104.2
AIPGENE17172	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17178	0	0	42199044	0	0	0	0	0	0	0	0	0
AIPGENE17186	26053491	25291707	106946576	4764937.5	0	16546935	339055739	248690337	271975912.5	283295963.5	255915783	242121862
AIPGENE1719	0	0	0	0	0	0	8307023	4131412	2608607.8	4106783.2	0	0
AIPGENE17193	0	0	0	0	0	0	0	2876853.5	5380266.5	9429872	5955222.5	0
AIPGENE172	0	0	0	0	0	0	29996879.5	31699994.5	31108927.7	24425461	21251567.5	0
AIPGENE17227	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17229	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17258	111800932	86212464	158239354	62714304	80140134	99076700	20699241	30593530	33770186	22984649	28422136.8	26867934
AIPGENE17260	365995960	315022055	516767544	193996796.5	277487525	357239768	126129050.5	184844416.8	139157306.8	116820755.5	192159011	141949744.5
AIPGENE17279	0	0	0	0	0	0	0	0	0	0	3986763.5	0
AIPGENE17316	63526059	75878990	181668418	54826615	96065606.3	71253536	728100566.5	501868246.5	617790183.5	650782881.5	854907715.5	642051270.5
AIPGENE17334	0	0	0	0	0	0	1919665	1791211	1266351	0	0	0
AIPGENE17335	0	0	0	0	0	0	42557771	40040354	65191072	72277696.5	37036794.5	21637262
AIPGENE17336	0	0	0	0	0	0	53090927	28236853.5	50848132.5	45853039.7	61604936	38042913
AIPGENE17353	0	0	0	0	0	0	0	0	2909084.8	5938942.5	0	0
AIPGENE17372	0	0	18444426	0	0	0	31844687.5	26307993	18351349	24567717	19227281.5	9087223
AIPGENE17374	0	0	0	0	0	0	3990391.2	0	0	1893215.8	0	0
AIPGENE1741	0	0	0	0	0	0	27983121.4	717989.3	23730896.3	17797866.8	13330444.5	0
AIPGENE17419	0	0	0	0	0	0	5081983.5	0	0	0	0	0
AIPGENE17435	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17444	21999208	0	66336774	6365456.5	9361430.9	0	0	0	0	0	0	0
AIPGENE17447	0	0	0	0	0	0	0	0	8283809	0	0	0
AIPGENE17453	0	195810830	0	0	143664500	103589370	0	0	0	0	8281969.5	0
AIPGENE17457	0	0	0	0	0	0	48277415.9	17639277	38818372.5	26105430.7	13385537	9450098.6
AIPGENE17478	0	0	0	0	0	0	60504701.5	38803857.5	74146123	21198600	63861887.5	34265660
AIPGENE1751	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17513	190217021	148798734	310345630	55289521	123579957	116813023	27045918.5	0	10392693.5	0	28942564.5	0
AIPGENE17545	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17546	37020502	23057140	61862800	24617382	14833874	19188360.5	5977999	0	0	0	3545750.5	0
AIPGENE17547	0	0	0	0	0	0	30395861	8749083.5	20846965.7	7631508	34206194.6	0
AIPGENE17555	0	0	0	0	0	0	11592274.5	13792963.2	17418614.2	21110570.5	4060056	12282628
AIPGENE1756	0	0	0	0	0	0	73018222.5	74221574.5	79360818.2	22762685.5	33416950	21875747.5
AIPGENE17587	0	0	0	0	0	0	207880843	118943395.5	162952417.3	220906545.5	182359318	122724485
AIPGENE17590	0	0	0	0	0	0	6836741.7	0	22052671.5	21675195	2620597.2	1501258.1
AIPGENE17591	333415341.5	525317636	654410418	109727281.7	98001706.5	408102987.5	3200003014.6	2948579627	2817827940.2	2651807057.7	2971531697	3060920761.5
AIPGENE17593	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17597	0	0	0	0	0	0	6370542.8	5281806.5	0	0	6609335.5	10683091
AIPGENE17612	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17628	0	0	0	0	0	0	24061268	0	0	27051955.2	25306758	34340095.5
AIPGENE17632	0	0	0	0	0	0	0	0	0	3181180.2	0	0
AIPGENE17633	24634115	57903683	122003924	22679377	8327687.5	23317866	0	0	0	0	0	0
AIPGENE17637	0	10652553	16421172	6334360.5	0	0	13314196	7702042	6533083.5	7206845	9163069	0
AIPGENE17639	8342667.5	49089640	25539959	0	0	5761588	53251065	61560166.5	54614400	41706174.8	21356639	29179082
AIPGENE17643	0	0	0	0	0	0	21413952.8	24423626	43693994	43760397.2	15667964	14877112
AIPGENE17648	0	0	0	0	0	0	8894181	13375031	0	4999150.5	0	0
AIPGENE17652	0	0	0	3625873.8	0	9115848	21595576	0	7719921	18536589.5	8482887.3	0
AIPGENE17673	0	0	0	0	0	0	23127554.5	17760776	11293351	0	0	0
AIPGENE1768	0	0	0	0	0	0	0	4612159	0	0	3505073.5	0
AIPGENE17687	0	0	0	0	0	0	0	0	0	0	18359900	0
AIPGENE17698	0	0	0	0	0	0	0	0	0	0	6952598	0
AIPGENE17714	0	0	0	0	0	0	0	0	0	0	0	3404501.2
AIPGENE17734	16680372.5	3427258.5	80820860	0	0	0	952100186.5	587513854	928102757.2	854744491.8	793659048.5	761257301
AIPGENE17735	0	0	0	0	0	0	19369752	19401034	12726300	23274516	12318504	15176873
AIPGENE17736	0	0	0	0	0	0	58668770	78006441	131219827	73466900.5	85357284.7	56855112.5
AIPGENE17763	0	0	0	0	0	0	0	8574401	0	0	0	0
AIPGENE17775	46898702	46918256	101452014	9379273	0	15674774	128062954	71510660	72742406	37981359	52722580	50271825
AIPGENE17785	62623555	31557645	120916752	22248088.5	53588775	37510482	0	0	38512190	0	0	0
AIPGENE17787	0	0	0	0	0	0	9943460.2	21484446	5598098.5	6680097	6356558.5	7343340
AIPGENE17789	0	0	0	0	0	0	3590241.8	15629433	0	0	16821336	0
AIPGENE17794	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17795	0	0	0	0	0	0	0	4626489	0	12031701	4292301	9927215
AIPGENE17803	0	0	0	0	0	0	9510565.3	22183518	4679489.5	16593463	17088079.2	0
AIPGENE17808	0	0	0	0	0	0	0	0	2234140.5	0	2637856	0
AIPGENE17809	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17843	17048724	22135619	31187892	0	0	0	255098702.7	259115736.9	290389041	259159638.1	215206837.4	130060410.3
AIPGENE17854	0	0	0	0	0	0	33757529.5	17962182	27449670	13451781	16256191	0
AIPGENE17860	0	0	0	0	0	0	22808855.5	12840381.5	20778525.5	18806590.5	27090663	6205050
AIPGENE17868	0	0	0	0	0	0	47552868.8	12472111.5	21449985.8	28092993	14237983.5	20101541
AIPGENE1788	0	0	0	0	0	0	13268998	14184077	7512652	22365110	0	0
AIPGENE17888	0	0	0	0	0	0	45762418	17028862	39247197	29949483	35059052	0
AIPGENE1790	12776368	20953832	83941666	0	10299608	0	316449351.8	213344302.5	340567866.5	351447966.2	444270875.5	200607556
AIPGENE17920	0	0	0	0	0	0	12142648.5	12948647.5	12667464.5	0	12600525	0
AIPGENE17925	52341721.5	57043402	148059893	0	0	0	39121873.5	46032257.4	49376282.1	24635309	23671721.5	13800382
AIPGENE1793	46496757	33427512	94247086	13062975	18369162	31592670	355168368	289458245.5	322261815.5	404803002	316340103	312574304.5
AIPGENE17930	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE17936	0	21349592	75467205	0	0	0	74708609.2	26247266.5	49922279.8	33743161.3	32936975	16086361
AIPGENE17939	0	0	0	0	0	0	1413739	0	0	0	0	0
AIPGENE1794	0	0	0	0	0	0	2687540.2	0	0	0	0	7250679.5
AIPGENE17940	0	12123101	0	0	0	12030234	0	10485372	9766447	8781804	13517578	21555438
AIPGENE17943	0	0	0	0	0	0	19572373.5	12347691	20046678	18418596	32089620	0
AIPGENE17946	0	0	0	0	0	0	21419847.8	11898212	10416719	16839715	8350623.5	10160305
AIPGENE17961	0	0	0	0	0	0	0	5151204.5	9131097	6421353.5	4468578	3972624.8
AIPGENE17966	0	0	7968735.5	0	0	0	15376458	0	6581911	25394582.5	25363658	21085075
AIPGENE17972	0	0	0	0	0	0	18076866	7672386.3	20199086.7	18591545.2	13599531.5	2741177
AIPGENE17973	0	0	0	0	0	0	19118347.5	0	20893550	16704370.2	26389646	9348554
AIPGENE17987	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18012	0	0	15514386	0	0	0	16580016	12368391	29447868	22673210	21849106	16671026
AIPGENE18026	0	0	0	0	0	0	160612798.7	106376707.5	285271018.5	134595956.7	241069982.5	78173113.4
AIPGENE18030	0	0	0	0	0	0	0	0	0	0	11970618	0
AIPGENE18036	0	0	0	0	13100753	0	20481092.7	8758085	5545955	9508896	6814235	3811219
